LAT,LON,CountryCode,Country,State,City,DisplayName
40.64067653,-73.93404401,us,USA,New York,NYC,"840, East 45th Street, Brooklyn Community Board 17 Neighborhoods, BK, Kings County, NYC, New York, 11203, USA"
40.85290843,-73.90934006,us,USA,New York,NYC,"2005, Davidson Avenue, University Heights, The Bronx, Bronx County, NYC, New York, 10453, USA"
40.62344118,-74.14472455,us,USA,New York,NYC,"27, Gloria Court, Graniteville, Staten Island, Richmond County, NYC, New York, 10302, USA"
40.86846738,-73.82158285,us,USA,New York,NYC,"Bartow Avenue, Co-Op City, The Bronx, Bronx County, NYC, New York, 10475, USA"
40.77322237,-73.91867316,us,USA,New York,NYC,"24-32, 27th Street, Steinway, Queens County, NYC, New York, 11102, USA"
40.58733589,-73.94806972,us,USA,New York,NYC,"2661, East 21st Street, Sheepshead Bay, BK, Kings County, NYC, New York, 11235, USA"
40.88329544,-73.85150495,us,USA,New York,NYC,"1041, East 223rd Street, Eastchester Heights, The Bronx, Bronx County, NYC, New York, 10466, USA"
40.63766614,-73.92608057,us,USA,New York,NYC,"5283, Kings Highway, Brooklyn Community Board 17 Neighborhoods, BK, Kings County, NYC, New York, 11234, USA"
40.66949146,-73.85604357,us,USA,New York,NYC,"137-25, 79th Street, Ozone Park, Queens County, NYC, New York, 11414, USA"
40.79115187,-73.88437192,us,USA,New York,NYC,"Rikers Island, Hazen Street, Hunts Point, Bronx County, NYC, New York, 11371, USA"
40.75736191,-73.92912776,us,USA,New York,NYC,"35-28, 31st Street, Astoria, Queens County, NYC, New York, 11106, USA"
40.6146244,-74.08471673,us,USA,New York,NYC,"519, Targee Street, Fox Hills, Todt Hill, Richmond County, NYC, New York, 10304, USA"
40.6601867,-73.89398453,us,USA,New York,NYC,"671, Georgia Avenue, East New York, Kings County, NYC, New York, 11207, USA"
40.8291633,-73.93727189,us,USA,New York,NYC,"2927, Frederick Douglass Boulevard, Harlem, Manhattan, Manhattan Community Board 10, New York County, NYC, New York, 10039, USA"
40.69086638,-73.98584806,us,USA,New York,NYC,"Banana Republic Factory Store, Fulton Mall, Downtown Brooklyn, Kings County, NYC, New York, 11207, USA"
40.77841252,-73.98208877,us,USA,New York,NYC,"2067, Broadway, Upper West Side, Manhattan, Manhattan Community Board 7, New York County, NYC, New York, 10023, USA"
40.70822107,-74.01755622,us,USA,New York,NYC,"Four Seasons, 21, South End Avenue, Battery Park City, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10280, USA"
40.68481679,-73.97070208,us,USA,New York,NYC,"845, Fulton Street, Fort Greene, BK, Kings County, NYC, New York, 11238, USA"
40.84874349,-73.8919852,us,USA,New York,NYC,"2070, Arthur Avenue, East Tremont, The Bronx, Bronx County, NYC, New York, 10457, USA"
40.78038838,-73.94584296,us,USA,New York,NYC,"420, East 92nd Street, Yorkville, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10128, USA"
40.64364608,-74.00108967,us,USA,New York,NYC,"4510, 8th Avenue, Dyker Heights, BK, Kings County, NYC, New York, 11220, USA"
40.56379882,-74.10173002,us,USA,New York,NYC,"77, Roma Avenue, New Dorp Beach, Todt Hill, Richmond County, NYC, New York, 10306, USA"
40.77493681,-73.95080101,us,USA,New York,NYC,"Le Bistro D'a Cote, 1st Avenue, Yorkville, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10028, USA"
40.71926178,-73.93831328,us,USA,New York,NYC,"329, Frost Street, Greenpoint, Kings County, NYC, New York, 11222, USA"
40.57725734,-74.00953738,us,USA,New York,NYC,"4111, Manhatten Avenue, Sea Gate, Kings County, NYC, New York, 11224, USA"
40.72948161,-73.86548975,us,USA,New York,NYC,"63rd Avenue, Rego Park, Queens County, NYC, New York, 11374, USA"
40.68196734,-73.98236705,us,USA,New York,NYC,"545, Warren Street, Park Slope, BK, Kings County, NYC, New York, 11217, USA"
40.59271019,-73.79862365,us,USA,New York,NYC,"Beach Channel Drive & Beach 69th Street, Beach Channel Drive, The Breakers, Arverne By The Sea, Queens County, NYC, New York, 11692, USA"
40.84820356,-73.89281379,us,USA,New York,NYC,"586, East 179th Street, Lambert Houses, The Bronx, Bronx County, NYC, New York, 10457, USA"
40.74916604,-73.86942725,us,USA,New York,NYC,"40-02, Junction Boulevard, Corona, Queens County, NYC, New York, 11373, USA"
40.73434561,-73.98193463,us,USA,New York,NYC,"327, East 18th Street, Gramercy, Manhattan, Manhattan Community Board 6, New York County, NYC, New York, 10003, USA"
40.68001135,-73.93294874,us,USA,New York,NYC,"77, Chauncey Street, BEDFORD STUYVESANT/ EXPANDED STUYVEVSANT HEIGHTS HISTORIC DISTRICT, BK, Kings County, NYC, New York, 11233, USA"
40.86109454,-73.8978832,us,USA,New York,NYC,"Grand Concourse, Fordham, The Bronx, Bronx County, NYC, New York, 10468, USA"
40.76360896,-73.77097127,us,USA,New York,NYC,"40-21, Bell Boulevard, Bayside, Queens, Queens County, NYC, New York, 11361, USA"
40.70053053,-73.93649852,us,USA,New York,NYC,"504, Bushwick Avenue, Bed-Stuy, Kings County, NYC, New York, 11206, USA"
40.81389792,-73.89953434,us,USA,New York,NYC,"1015, Leggett Avenue, Melrose, The Bronx, Bronx County, NYC, New York, 10455, USA"
40.74662923,-73.97242526,us,USA,New York,NYC,"The Corinthian, 330, East 38th Street, Murray Hill, Manhattan, Manhattan Community Board 6, New York County, NYC, New York, 10016, USA"
40.76659724,-73.98854312,us,USA,New York,NYC,"421, West 54th Street, Hell's Kitchen, Manhattan, Manhattan Community Board 4, New York County, NYC, New York, 10019, USA"
40.75834015,-73.98157077,us,USA,New York,NYC,"News Corp. Plaza, Diamond District, Midtown, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, USA"
40.59644847,-73.93678474,us,USA,New York,NYC,"3024, Ave W, Nostrand Houses, Kings County, NYC, New York, 11229, USA"
40.81310735,-73.93847195,us,USA,New York,NYC,"10, West 135th Street, Riverton Square Apartments, Harlem, Manhattan, Manhattan Community Board 10, New York County, NYC, New York, 10037:10454, USA"
40.6892521,-73.9832666,us,USA,New York,NYC,"15, Bond Street, Downtown Brooklyn, Kings County, NYC, New York, 11201, USA"
40.87634565,-73.85132882,us,USA,New York,NYC,"3460, Wilson Avenue, Eastchester Heights, The Bronx, Bronx County, NYC, New York, 10469, USA"
40.58537069,-73.98749773,us,USA,New York,NYC,"2847, Cropsey Avenue, Bath Beach, Kings County, NYC, New York, 11214, USA"
40.77480026,-73.9524475,us,USA,New York,NYC,"329, East 82nd Street, Yorkville, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10028, USA"
40.63417962,-74.02370129,us,USA,New York,NYC,"6916, 4th Avenue, Bay Ridge, Kings County, NYC, New York, 11209, USA"
40.88846199,-73.84195621,us,USA,New York,NYC,"East 233rd Street & Baychester Avenue, East 233rd Street, Eastchester, The Bronx, Bronx County, NYC, New York, 10466, USA"
40.57762935,-73.83996303,us,USA,New York,NYC,"164, Beach 120th Street, Belle Harbor, Rockaway Park, Queens County, NYC, New York, 11694, USA"
40.79259156,-73.94603166,us,USA,New York,NYC,"1697, Lexington Avenue, East Harlem, Manhattan, Manhattan Community Board 11, New York County, NYC, New York, 10029, USA"
40.59731855,-73.98537456,us,USA,New York,NYC,"2019, Stillwell Avenue, Gravesend, Kings County, NYC, New York, 11223, USA"
40.75130182,-73.93428819,us,USA,New York,NYC,"30-07, Northern Boulevard, Sunnyside, Queens County, NYC, New York, 11101, USA"
40.85902536,-73.90467188,us,USA,New York,NYC,"2286, Davidson Avenue, University Heights, The Bronx, Bronx County, NYC, New York, 10468, USA"
40.64276998,-74.01096647,us,USA,New York,NYC,"542, 53rd Street, Borough Park, BK, Kings County, NYC, New York, 11220, USA"
40.68015778,-73.94512396,us,USA,New York,NYC,"1399, Fulton Street, Bed-Stuy Gateway Business Improvement District, BK, Kings County, NYC, New York, 11216, USA"
40.82365149,-73.92721084,us,USA,New York,NYC,"691, Gerard Avenue, High Bridge, Bronx County, NYC, New York, 10451, USA"
40.72665034,-73.99049104,us,USA,New York,NYC,"71, East 4th Street, NoHo Historic District, NoHo, Manhattan, Manhattan Community Board 3, New York County, NYC, New York, 10003, USA"
40.82749887,-73.86774509,us,USA,New York,NYC,"1740, Watson Avenue, Parkchester, The Bronx, Bronx County, NYC, New York, 10472, USA"
40.88680259,-73.84687149,us,USA,New York,NYC,"East 229 Street & Laconia Avenue, East 229th Street, Edenwald Houses, The Bronx, Bronx County, NYC, New York, 10466, USA"
40.85860865,-73.90867073,us,USA,New York,NYC,"2198, University Avenue, University Heights, The Bronx, Bronx County, NYC, New York, 10453, USA"
40.73512073,-73.99145687,us,USA,New York,NYC,"DSW, 125, East 14th Street, Union Square, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10011-6832, USA"
40.68307937,-73.78769997,us,USA,New York,NYC,"155-33, 116th Drive, Cedar Manor Houses, Queens County, NYC, New York, 11434, USA"
40.65553848,-73.88409879,us,USA,New York,NYC,"200, Cozine Avenue, East New York, Kings County, NYC, New York, 11207, USA"
40.73105057,-73.99960455,us,USA,New York,NYC,"NYU, West 4th Street, NoHo Historic District, NoHo, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10012, USA"
40.89436486,-73.843266,us,USA,New York,NYC,"4140, De Reimer Avenue, Wakefield, The Bronx, Bronx County, NYC, New York, 10466, USA"
40.81874052,-73.91425316,us,USA,New York,NYC,"2985, 3rd Avenue, Melrose, The Bronx, Bronx County, NYC, New York, 10455, USA"
40.61437659,-74.03233144,us,USA,New York,NYC,"9721, 4th Avenue, Fort Hamilton, Kings County, NYC, New York, 11209, USA"
40.85327282,-73.88684126,us,USA,New York,NYC,"2319, Belmont Avenue, East Tremont, The Bronx, Bronx County, NYC, New York, 10458, USA"
40.76795511,-73.98236234,us,USA,New York,NYC,"ChargePoint, 10, Columbus Circle, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10019, USA"
40.81874158,-73.92782679,us,USA,New York,NYC,"149, East 149th Street, Mott Haven, Bronx County, NYC, New York, 10451, USA"
40.6341254,-73.94586798,us,USA,New York,NYC,"716, East 32nd Street, Brooklyn Community Board 17 Neighborhoods, BK, Kings County, NYC, New York, 11210, USA"
40.64489925,-74.09210266,us,USA,New York,NYC,"92, Van Buren Street, New Brighton, Richmond County, NYC, New York, 10301, USA"
40.64173826,-74.07567804,us,USA,New York,NYC,"Bay Street & Stuyvesant Place, Bay Street, Saint George, Richmond County, NYC, New York, 10301, USA"
40.69871251,-73.93977124,us,USA,New York,NYC,"885, Park Avenue, Bed-Stuy, BK, Kings County, NYC, New York, 11206, USA"
